epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.7491170219753099;0.47826087;0.273977522973951;0.5490196078431373;0.3333333333333333;0.75;0.26923078;0.44117647;0.5833333;0.47826087;0.273977522973951;0.5490196078431373;0.7053966755452363;0.3333333333333333;0.75;0.26923078;0.44117647;0.5833333
1;0.7007741746695145;0.6086956;0.3139674009135997;0.6053921568627452;0.375;0.7352941;0.25;0.7352941;0.25;0.6086956;0.3139674009135997;0.6053921568627452;0.6560552975405818;0.375;0.7352941;0.25;0.7352941;0.25
2;0.6740068430485933;0.76086956;0.4555618959683996;0.6568627450980391;0.42857142857142855;0.76744187;0.6666667;0.9705882;0.16666667;0.76086956;0.4555618959683996;0.6568627450980391;0.6221741697062617;0.42857142857142855;0.76744187;0.6666667;0.9705882;0.16666667
3;0.6487615730451501;0.73913044;0.4852340488475344;0.6985294117647058;0.5;0.73913044;nan;1.0;0.0;0.73913044;0.4852340488475344;0.6985294117647058;0.5950551525406216;0.5;0.73913044;nan;1.0;0.0
4;0.6119778052620266;0.73913044;0.5079937178824032;0.7230392156862745;0.5;0.73913044;nan;1.0;0.0;0.73913044;0.5079937178824032;0.7230392156862745;0.5739742698876754;0.5;0.73913044;nan;1.0;0.0
5;0.5896469199139139;0.73913044;0.5611500937967956;0.7549019607843137;0.5;0.73913044;nan;1.0;0.0;0.73913044;0.5611500937967956;0.7549019607843137;0.5563880956691244;0.5;0.73913044;nan;1.0;0.0
6;0.572511516187502;0.73913044;0.6462139939522997;0.7794117647058824;0.5333333333333333;0.73913044;nan;1.0;0.0;0.73913044;0.6462139939522997;0.7794117647058824;0.5407560571380283;0.5333333333333333;0.73913044;nan;1.0;0.0
7;0.5809477515842604;0.73913044;0.6969089354365848;0.8112745098039216;0.6428571428571429;0.73913044;nan;1.0;0.0;0.73913044;0.6969089354365848;0.8112745098039216;0.5269435307253962;0.6428571428571429;0.73913044;nan;1.0;0.0
8;0.5556899231413136;0.73913044;0.7818697238081296;0.8406862745098038;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.7818697238081296;0.8406862745098038;0.5151882974997811;0.75;0.73913044;nan;1.0;0.0
9;0.5595218552195508;0.73913044;0.8124167171840705;0.8553921568627451;0.75;0.73913044;nan;1.0;0.0;0.73913044;0.8124167171840705;0.8553921568627451;0.5067675554234049;0.75;0.73913044;nan;1.0;0.0
